	Record Date	Exchange Rate	Effective Date	Country	Currency	Country Name	Country Code	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
9430	12/31/04	45.21	20041231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9265	3/31/05	45.21	20050331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
9100	6/30/05	45.21	20050630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
8934	9/30/05	45.21	20050930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
8764	12/31/05	50.3	20051231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
8595	3/31/06	50.3	20060331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
8425	6/30/06	50.3	20060630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
8259	9/30/06	50.3	20060930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
8088	12/31/06	50.3	20061231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
7917	3/31/07	50.3	20070331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
7746	6/30/07	50.3	20070630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
7575	9/30/07	49.53	20070930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
7404	12/31/07	49.8	20071231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
7237	3/31/08	49.3	20080331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
7081	6/30/08	46.13	20080630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
6926	9/30/08	46.78	20080930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
6767	12/31/08	47.01	20081231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
6613	3/31/09	47.3	20090331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
6459	6/30/09	49.52	20090630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
6306	9/30/09	48.93	20090930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
6153	12/31/09	47.92	20091231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
5998	3/31/10	47.8	20100331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
5843	6/30/10	46.63	20100630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
5687	9/30/10	45.13	20100930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
5529	12/31/10	44.5	20101231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
5372	3/31/11	44.5	20110331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
5213	6/30/11	46.0	20110630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
5055	9/30/11	47.0	20110930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
4897	12/31/11	48.2	20111231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
4738	3/31/12	48.7	20120331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
4579	6/30/12	49.5	20120630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
4419	9/30/12	50.5	20120930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
4259	12/31/12	51.8	20121231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
4098	3/31/13	53.18	20130331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
3937	6/30/13	56.0	20130630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
3776	9/30/13	57.0	20130930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
3615	12/31/13	56.0	20131231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
3454	3/31/14	56.6	20140331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
3293	6/30/14	57.39	20140630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
3132	9/30/14	57.05	20140930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
2971	12/31/14	57.9	20141231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
