Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
6/30/01,774.9,20010630,Benin,CFA Franc,Benin,BEN,5.333135706,2001
9/30/01,721.7,20010930,Benin,CFA Franc,Benin,BEN,5.333135706,2001
12/31/01,736.12,20011231,Benin,CFA Franc,Benin,BEN,5.333135706,2001
3/31/01,1.0,20010331,Bermuda,Dollar,Bermuda,BMU,7.222435538,2001
6/30/01,1.0,20010630,Bermuda,Dollar,Bermuda,BMU,7.222435538,2001
9/30/01,1.0,20010930,Bermuda,Dollar,Bermuda,BMU,7.222435538,2001
12/31/01,1.0,20011231,Bermuda,Dollar,Bermuda,BMU,7.222435538,2001
3/31/01,6.438,20010331,Bolivia,Boliviano,Bolivia,BOL,1.683799127,2001
6/30/01,6.54,20010630,Bolivia,Boliviano,Bolivia,BOL,1.683799127,2001
9/30/01,6.7,20010930,Bolivia,Boliviano,Bolivia,BOL,1.683799127,2001
12/31/01,6.83,20011231,Bolivia,Boliviano,Bolivia,BOL,1.683799127,2001
3/31/01,5.376,20010331,Botswana,Pula,Botswana,BWA,0.25057395,2001
6/30/01,5.627,20010630,Botswana,Pula,Botswana,BWA,0.25057395,2001
9/30/01,5.724,20010930,Botswana,Pula,Botswana,BWA,0.25057395,2001
12/31/01,6.964,20011231,Botswana,Pula,Botswana,BWA,0.25057395,2001
3/31/01,2.043,20010331,Brazil,Real,Brazil,BRA,1.389896401,2001
6/30/01,2.36,20010630,Brazil,Real,Brazil,BRA,1.389896401,2001
9/30/01,2.552,20010930,Brazil,Real,Brazil,BRA,1.389896401,2001
12/31/01,2.309,20011231,Brazil,Real,Brazil,BRA,1.389896401,2001
3/31/01,2.114,20010331,Bulgaria,Lev New,Bulgaria,BGR,3.823703965,2001
6/30/01,2.3,20010630,Bulgaria,Lev New,Bulgaria,BGR,3.823703965,2001
9/30/01,2.146,20010930,Bulgaria,Lev New,Bulgaria,BGR,3.823703965,2001
12/31/01,2.184,20011231,Bulgaria,Lev New,Bulgaria,BGR,3.823703965,2001
3/31/01,710.53,20010331,Burkina Faso,CFA Franc,Burkina Faso,BFA,6.613405745,2001
6/30/01,774.9,20010630,Burkina Faso,CFA Franc,Burkina Faso,BFA,6.613405745,2001
9/30/01,721.7,20010930,Burkina Faso,CFA Franc,Burkina Faso,BFA,6.613405745,2001
12/31/01,736.12,20011231,Burkina Faso,CFA Franc,Burkina Faso,BFA,6.613405745,2001
3/31/01,780.588,20010331,Burundi,Franc,Burundi,BDI,2.055807108,2001
6/30/01,822.749,20010630,Burundi,Franc,Burundi,BDI,2.055807108,2001
9/30/01,833.024,20010930,Burundi,Franc,Burundi,BDI,2.055807108,2001
12/31/01,851.05,20011231,Burundi,Franc,Burundi,BDI,2.055807108,2001
3/31/01,710.53,20010331,Cameroon,CFA Franc,Cameroon,CMR,4.324261192,2001
6/30/01,774.9,20010630,Cameroon,CFA Franc,Cameroon,CMR,4.324261192,2001
9/30/01,721.7,20010930,Cameroon,CFA Franc,Cameroon,CMR,4.324261192,2001
12/31/01,736.12,20011231,Cameroon,CFA Franc,Cameroon,CMR,4.324261192,2001
3/31/01,1.532,20010331,Canada,Dollar,Canada,CAN,1.875098132,2001
6/30/01,1.541,20010630,Canada,Dollar,Canada,CAN,1.875098132,2001
9/30/01,1.549,20010930,Canada,Dollar,Canada,CAN,1.875098132,2001
12/31/01,1.592,20011231,Canada,Dollar,Canada,CAN,1.875098132,2001
3/31/01,121.203,20010331,Cape Verde,Escudo,Cape Verde,CPV,2.231654545,2001
6/30/01,128.353,20010630,Cape Verde,Escudo,Cape Verde,CPV,2.231654545,2001
9/30/01,120.486,20010930,Cape Verde,Escudo,Cape Verde,CPV,2.231654545,2001
12/31/01,123.556,20011231,Cape Verde,Escudo,Cape Verde,CPV,2.231654545,2001
3/31/01,710.53,20010331,Chad,CFA Franc,Chad,TCD,11.65813465,2001
6/30/01,774.9,20010630,Chad,CFA Franc,Chad,TCD,11.65813465,2001
9/30/01,721.7,20010930,Chad,CFA Franc,Chad,TCD,11.65813465,2001
12/31/01,736.12,20011231,Chad,CFA Franc,Chad,TCD,11.65813465,2001
3/31/01,574.04,20010331,Chile,Peso,Chile,CHL,3.154034924,2001
6/30/01,610.8,20010630,Chile,Peso,Chile,CHL,3.154034924,2001
9/30/01,662.2,20010930,Chile,Peso,Chile,CHL,3.154034924,2001
12/31/01,661.0,20011231,Chile,Peso,Chile,CHL,3.154034924,2001
3/31/01,8.266,20010331,China,Renminbi,China,CHN,8.335733476,2001
6/30/01,8.265,20010630,China,Renminbi,China,CHN,8.335733476,2001
9/30/01,8.264,20010930,China,Renminbi,China,CHN,8.335733476,2001
12/31/01,8.265,20011231,China,Renminbi,China,CHN,8.335733476,2001
3/31/01,2262.8,20010331,Colombia,Peso,Colombia,COL,1.677898308,2001
6/30/01,2324.5,20010630,Colombia,Peso,Colombia,COL,1.677898308,2001
9/30/01,2296.2,20010930,Colombia,Peso,Colombia,COL,1.677898308,2001
12/31/01,2275.0,20011231,Colombia,Peso,Colombia,COL,1.677898308,2001
3/31/01,532.898,20010331,Comoros,Franc,Comoros,COM,2.332907102,2001
6/30/01,581.175,20010630,Comoros,Franc,Comoros,COM,2.332907102,2001
9/30/01,541.275,20010930,Comoros,Franc,Comoros,COM,2.332907102,2001
12/31/01,552.09,20011231,Comoros,Franc,Comoros,COM,2.332907102,2001
3/31/01,321.01,20010331,Costa Rica,Colon,Costa Rica,CRI,3.491169871,2001
6/30/01,325.96,20010630,Costa Rica,Colon,Costa Rica,CRI,3.491169871,2001
9/30/01,331.87,20010930,Costa Rica,Colon,Costa Rica,CRI,3.491169871,2001
12/31/01,341.3,20011231,Costa Rica,Colon,Costa Rica,CRI,3.491169871,2001
3/31/01,8.456,20010331,Croatia,KUNA,Croatia,HRV,3.120864388,2001
6/30/01,8.504,20010630,Croatia,KUNA,Croatia,HRV,3.120864388,2001
9/30/01,8.337,20010930,Croatia,KUNA,Croatia,HRV,3.120864388,2001
12/31/01,8.308,20011231,Croatia,KUNA,Croatia,HRV,3.120864388,2001
3/31/01,0.627,20010331,Cyprus,Pound,Cyprus,CYP,3.952560541,2001
6/30/01,0.681,20010630,Cyprus,Pound,Cyprus,CYP,3.952560541,2001
9/30/01,0.63,20010930,Cyprus,Pound,Cyprus,CYP,3.952560541,2001
12/31/01,0.645,20011231,Cyprus,Pound,Cyprus,CYP,3.952560541,2001
3/31/01,8.084,20010331,Denmark,Krone,Denmark,DNK,0.823152998,2001
6/30/01,8.81,20010630,Denmark,Krone,Denmark,DNK,0.823152998,2001
9/30/01,8.191,20010930,Denmark,Krone,Denmark,DNK,0.823152998,2001
12/31/01,8.344,20011231,Denmark,Krone,Denmark,DNK,0.823152998,2001
3/31/01,176.95,20010331,Djibouti,Franc,Djibouti,DJI,0.0,2001
6/30/01,176.95,20010630,Djibouti,Franc,Djibouti,DJI,0.0,2001
9/30/01,176.95,20010930,Djibouti,Franc,Djibouti,DJI,0.0,2001
12/31/01,176.95,20011231,Djibouti,Franc,Djibouti,DJI,0.0,2001
3/31/01,16.588,20010331,Dominican Republic,Peso,Dominican Republic,DOM,2.459516368,2001
6/30/01,16.99,20010630,Dominican Republic,Peso,Dominican Republic,DOM,2.459516368,2001
9/30/01,16.85,20010930,Dominican Republic,Peso,Dominican Republic,DOM,2.459516368,2001
12/31/01,17.02,20011231,Dominican Republic,Peso,Dominican Republic,DOM,2.459516368,2001
3/31/01,25000.0,20010331,Ecuador,Sucre,Ecuador,ECU,4.0156299,2001
6/30/01,25000.0,20010630,Ecuador,Sucre,Ecuador,ECU,4.0156299,2001
9/30/01,25000.0,20010930,Ecuador,Sucre,Ecuador,ECU,4.0156299,2001
12/31/01,25000.0,20011231,Ecuador,Sucre,Ecuador,ECU,4.0156299,2001
3/31/01,3.88,20010331,Egypt,Pound,Egypt,EGY,3.535251973,2001
6/30/01,3.886,20010630,Egypt,Pound,Egypt,EGY,3.535251973,2001
9/30/01,4.25,20010930,Egypt,Pound,Egypt,EGY,3.535251973,2001
12/31/01,4.56,20011231,Egypt,Pound,Egypt,EGY,3.535251973,2001
3/31/01,8.75,20010331,El Salvador,Colon,El Salvador,SLV,0.87961366,2001
6/30/01,8.75,20010630,El Salvador,Colon,El Salvador,SLV,0.87961366,2001
9/30/01,8.75,20010930,El Salvador,Colon,El Salvador,SLV,0.87961366,2001
12/31/01,8.75,20011231,El Salvador,Colon,El Salvador,SLV,0.87961366,2001
3/31/01,710.53,20010331,Equatorial Guinea,CFA Franc,Equatorial Guinea,GNQ,63.37987543,2001
6/30/01,774.9,20010630,Equatorial Guinea,CFA Franc,Equatorial Guinea,GNQ,63.37987543,2001
9/30/01,721.7,20010930,Equatorial Guinea,CFA Franc,Equatorial Guinea,GNQ,63.37987543,2001
12/31/01,736.12,20011231,Equatorial Guinea,CFA Franc,Equatorial Guinea,GNQ,63.37987543,2001
3/31/01,10.2,20010331,Eritrea,Nakfa,Eritrea,ERI,8.755435528,2001
6/30/01,10.2,20010630,Eritrea,Nakfa,Eritrea,ERI,8.755435528,2001
9/30/01,10.2,20010930,Eritrea,Nakfa,Eritrea,ERI,8.755435528,2001
12/31/01,13.55,20011231,Eritrea,Nakfa,Eritrea,ERI,8.755435528,2001
3/31/01,16.949,20010331,Estonia,Kroon,Estonia,EST,6.003674251,2001
6/30/01,18.488,20010630,Estonia,Kroon,Estonia,EST,6.003674251,2001
9/30/01,17.218,20010930,Estonia,Kroon,Estonia,EST,6.003674251,2001
12/31/01,17.561,20011231,Estonia,Kroon,Estonia,EST,6.003674251,2001
3/31/01,8.37,20010331,Ethiopia,Birr,Ethiopia,ETH,8.301306321,2001
6/30/01,8.44,20010630,Ethiopia,Birr,Ethiopia,ETH,8.301306321,2001
9/30/01,8.5,20010930,Ethiopia,Birr,Ethiopia,ETH,8.301306321,2001
12/31/01,8.56,20011231,Ethiopia,Birr,Ethiopia,ETH,8.301306321,2001
3/31/01,1.083,20010331,Euro Zone,Euro,Euro Zone,EMU,2.199224715,2001
6/30/01,1.181,20010630,Euro Zone,Euro,Euro Zone,EMU,2.199224715,2001
9/30/01,1.1,20010930,Euro Zone,Euro,Euro Zone,EMU,2.199224715,2001
12/31/01,1.122,20011231,Euro Zone,Euro,Euro Zone,EMU,2.199224715,2001
3/31/01,2.205,20010331,Fiji,Dollar,Fiji,FJI,2.000000147,2001
6/30/01,2.205,20010630,Fiji,Dollar,Fiji,FJI,2.000000147,2001
9/30/01,2.212,20010930,Fiji,Dollar,Fiji,FJI,2.000000147,2001
12/31/01,2.285,20011231,Fiji,Dollar,Fiji,FJI,2.000000147,2001
3/31/01,6.442,20010331,Finland,Markka,Finland,FIN,2.610019124,2001
6/30/01,1.181,20010630,Finland,Euro,Finland,FIN,2.610019124,2001
